"","from_city","to_city"
"786","Bordeaux","Frankfurt"
"787","Brussels","Duesseldorf"
"788","Brussels","Linz"
"789","Augsburg","Stuttgart"
"790","Augsburg","Nuremberg"
"791","Gothenburg","Copenhagen"
"792","Brno","Pardubice"
"793","Bratislava","Pardubice"
"794","Copenhagen","Aarhus"
"795","Cologne","Mannheim"
"796","Poznan","Krakow"
"797","Ostrava","Kosice"
"798","Santiago de Compostela","Madrid"
"799","Santiago de Compostela","Barcelona"
"800","Turin","Lamezia Terme"
"801","Zurich","Linz"
"802","Venice","Linz"
"803","Linz","Frankfurt"
"804","Brno","Graz"
"805","London","Bristol"
"806","Budapest","Timisoara"
"807","Basel","Paris"
"808","Poprad","Ostrava"
"809","Ostrava","Berlin"
"810","Liverpool","Doncaster"
"811","Valencia","Girona"
"812","Madrid","Granada"
"813","Vienna","Munich"
"814","Augsburg","Frankfurt"
"815","Milan","Bern"
"816","Frankfurt","Nuremberg"
"817","Berlin","Nuremberg"
"818","Cologne","Liege"
"819","Duesseldorf","Liege"
"820","Frankfurt","Liege"
"821","Bordeaux","Toulouse"
"822","Warsaw","Katowice"
"823","Berlin","Wroclaw"
"824","Dortmund","Paderborn"
"825","Innsbruck","Zagreb"
"826","Antwerp","Paris"
"827","Paris","Basel"
"828","Paris","Turin"
"829","Chambery-Savoie","Paris"
"830","Chambery-Savoie","Lille"
"831","Vienna","Cluj-Napoca"
"832","Venice","Rome"
"833","Bratislava","Vienna"
"834","Birmingham","Cardiff"
"835","Turin","Florence"
"836","Munich","Florence"
"837","Hannover","Cologne"
"838","Venice","Geneva"
"839","Belgrade","Podgorica"
"840","Barcelona","Girona"
"841","Paris","Girona"
"842","Florence","Verona"
"843","Pisa","Genoa"
"844","Warsaw","Poznan"
"845","Paris","Dortmund"
"846","Prague","Karlovy Vary"
"847","Graz","Zagreb"
"848","Berlin","Graz"
"849","Montpellier","Lyon"
"850","Lyon","Mannheim"
"851","Basel","Berlin"
"852","Munich","Rome"
"853","Catania","Milan"
"854","Prague","Brno"
"855","Granada","Almeria"
"856","Vienna","Hannover"
"857","Nuremberg","Augsburg"
"858","Lyon","Montpellier"
"859","Trieste","Venice"
"860","Birmingham","Leeds"
"861","Newcastle","Manchester"
"862","Vienna","Berlin"
"863","Plymouth","Cardiff"
"864","Bratislava","Kosice"
"865","Timisoara","Budapest"
"866","Vienna","Brussels"
"867","Gothenburg","Karlstad"
"868","Stockholm","Karlstad"
"869","Vienna","Zurich"
"870","Leeds","Birmingham"
"871","Brussels","Luxembourg"
"872","Hamburg","Norrkoping"
"873","Lille","Paris"
"874","Milan","Rome"
"875","Turin","Genoa"
"876","Kortrijk","Brussels"
"877","Genoa","Zurich"
"878","Zurich","Amsterdam"
"879","Catania","Rome"
"880","Genoa","Salzburg"
"881","Genoa","Munich"
"882","Milan","Mannheim"
"883","Ancona","Milan"
"884","Toulouse","Montpellier"
"885","Katowice","Budapest"
"886","Hamburg","Dortmund"
"887","Oslo","Gothenburg"
"888","Ancona","Pescara"
"889","Duesseldorf","Basel"
"890","Duesseldorf","Zurich"
"891","Duesseldorf","Frankfurt"
"892","Tampere","Turku"
"893","Lille","Strasbourg"
"894","Bern","Duesseldorf"
"895","Duesseldorf","Berlin"
"896","Berlin","Norrkoping"
"897","Mannheim","Duesseldorf"
"898","Rostock","Hannover"
"899","Innsbruck","Vienna"
"900","Vienna","Wroclaw"
"901","Bratislava","Brno"
"902","Genoa","Vienna"
"903","Maastricht","Eindhoven"
"904","Brussels","Chambery-Savoie"
"905","Duesseldorf","Hannover"
"906","Zagreb","Salzburg"
"907","Milan","Naples"
"908","Klagenfurt","Venice"
"909","Cologne","Frankfurt"
"910","Cologne","Munich"
"911","Lamezia Terme","Turin"
"912","Bournemouth","Birmingham"
"913","Nuremberg","Dortmund"
"914","Catania","Naples"
"915","Katowice","Wroclaw"
"916","Warsaw","Wroclaw"
"917","Bratislava","Warsaw"
"918","Milan","Geneva"
"919","Hannover","Nuremberg"
"920","Zagreb","Frankfurt"
"921","Bristol","Leeds"
"922","Cardiff","Manchester"
"923","Eindhoven","Maastricht"
"924","Poprad","Bratislava"
"925","Ljubljana","Zagreb"
"926","Palermo","Naples"
"927","Lamezia Terme","Milan"
"928","Granada","Sevilla"
"929","Plymouth","Exeter"
"930","Norrkoping","Copenhagen"
"931","Rome","Munich"
"932","Naples","Catania"
"933","Salamanca","Zaragoza"
"934","Zurich","Milan"
"935","Milan","Ancona"
"936","Turin","Ancona"
"937","Turin","Bologna"
"938","Vienna","Innsbruck"
"939","Vienna","Paris"
